word,pos,category_codes,category_names
abandon,v,VERB,通用商務動詞
abide,v,VERB,通用商務動詞
ability,n,GENN,一般名詞
able,a,GENADJ,一般形容詞
abnormal,a,GENADJ,一般形容詞
aboard,ad,TRAVEL,差旅與交通
abolish,v,VERB,通用商務動詞
aborigine,n,GENN,一般名詞
abort,v,VERB,通用商務動詞
abound,v,VERB,通用商務動詞
about,ad,GENADV,一般副詞
above,ad,GENADV,一般副詞
above-average,a,GENADJ,一般形容詞
abroad,ad,GENADV,一般副詞
abrupt,a,GENADJ,一般形容詞
abruptly,ad,GENADV,一般副詞
absence,n,GENN,一般名詞
absent,a,GENADJ,一般形容詞
absolute,a,GENADJ,一般形容詞
absolutely,ad,TIME,時間／頻率／程度副詞
absorb,v,VERB,通用商務動詞
abstract,a,GENADJ,一般形容詞
absurd,a,GENADJ,一般形容詞
abundance,n,GENN,一般名詞
abundant,n,GENN,一般名詞
abuse,n,GENN,一般名詞
abusive,n,GENN,一般名詞
academic,a,EDU,教育與學術
academy,n,EDU,教育與學術
accelerate,v,VERB,通用商務動詞
accent,n,GENN,一般名詞
accept,v,VERB,通用商務動詞
acceptable,a,GENADJ,一般形容詞
acceptance,n,GENN,一般名詞
access,n,GENN,一般名詞
accessibility,n,GENN,一般名詞
accessible,a,GENADJ,一般形容詞
accessory,n,GENN,一般名詞
accident,n,GENN,一般名詞
accident-prone,a,GENADJ,一般形容詞
accidental,a,GENADJ,一般形容詞
acclaim,v,VERB,通用商務動詞
acclimatize,v,VERB,通用商務動詞
accommodate,v,HOTEL,飯店與住宿
accommodation,n,HOTEL,飯店與住宿
accompany,v,VERB,通用商務動詞
accomplish,v,VERB,通用商務動詞
accomplishment,n,GENN,一般名詞
accord,v,VERB,通用商務動詞
according,a,GENADJ,一般形容詞
account,n,FIN,財務／會計
accountable,a,GENADJ,一般形容詞
accountant,n,TITLE|FIN,職稱與部門角色、財務／會計
accounting,n,FIN,財務／會計
accrue,v,FIN,財務／會計
accumulate,v,VERB,通用商務動詞
accumulation,n,GENN,一般名詞
accuracy,n,GENN,一般名詞
accurate,a,GENADJ,一般形容詞
accuse,v,VERB,通用商務動詞
accustom,v,VERB,通用商務動詞
ache,n,HEALTH,醫療與健康
achieve,v,VERB,通用商務動詞
achievement,n,GENN,一般名詞
acknowledge,v,VERB,通用商務動詞
acknowledgement,n,GENN,一般名詞
acquire,v,VERB,通用商務動詞
acquisition,n,GENN,一般名詞
acquisitive,a,GENADJ,一般形容詞
acre,n,GENN,一般名詞
across,prep,FUNC,連接詞／介系詞等功能詞
act,v,VERB,通用商務動詞
action,n,GENN,一般名詞
activate,v,VERB,通用商務動詞
active,a,GENADJ,一般形容詞
activity,n,GENN,一般名詞
actor,n,TITLE,職稱與部門角色
actress,n,TITLE,職稱與部門角色
actual,a,GENADJ,一般形容詞
actually,ad,GENADV,一般副詞
acute,a,GENADJ,一般形容詞
adapt,v,VERB,通用商務動詞
adapter,n,GENN,一般名詞
add,v,VERB,通用商務動詞
addict,v,VERB,通用商務動詞
addiction,n,GENN,一般名詞
addictive,a,GENADJ,一般形容詞
addition,n,GENN,一般名詞
additionally,ad,GENADV,一般副詞
address,n,MEET,會議與簡報
adept,n,GENN,一般名詞
adequate,a,GENADJ,一般形容詞
adhere,v,VERB,通用商務動詞
adjust,v,VERB,通用商務動詞
adjustment,n,GENN,一般名詞
administrate,v,TITLE,職稱與部門角色
administration,v,VERB,通用商務動詞
administrator,n,TITLE,職稱與部門角色
admirable,a,GENADJ,一般形容詞
admiration,n,GENN,一般名詞
admire,v,VERB,通用商務動詞
admit,v,VERB,通用商務動詞
admittance,n,GENN,一般名詞
adolescence,n,GENN,一般名詞
adolescent,a,GENADJ,一般形容詞
adopt,v,VERB,通用商務動詞
adoption,n,GENN,一般名詞
adorn,v,VERB,通用商務動詞
adult,n,GENN,一般名詞
advance,v,VERB,通用商務動詞
advanced,a,GENADJ,一般形容詞
advantage,n,GENN,一般名詞
adventure,n,GENN,一般名詞
adversary,n,GENN,一般名詞
adverse,a,GENADJ,一般形容詞
advertise,v,MKT,行銷與業務
advertisement,n,MKT|MEDIA,行銷與業務、媒體與傳播
advice,n,GENN,一般名詞
advisable,a,GENADJ,一般形容詞
advise,v,VERB,通用商務動詞
adviser,n,TITLE,職稱與部門角色
advocate,n,GENN,一般名詞
affair,n,GENN,一般名詞
affect,v,VERB,通用商務動詞
affection,n,GENN,一般名詞
afraid,a,EMOTION,情緒與個性形容詞
after,prep,FUNC,連接詞／介系詞等功能詞
after-tax,a,GENADJ,一般形容詞
afternoon,n,GENN,一般名詞
afterward,ad,GENADV,一般副詞
again,ad,GENADV,一般副詞
against,prep,FUNC,連接詞／介系詞等功能詞
age,n,GENN,一般名詞
agency,n,GENN,一般名詞
agenda,n,WORK|MEET,職場／辦公室日常、會議與簡報
agent,n,GENN,一般名詞
aggression,n,EMOTION,情緒與個性形容詞
aggressive,a,EMOTION,情緒與個性形容詞
agility,n,GENN,一般名詞
ago,ad,GENADV,一般副詞
agree,v,VERB,通用商務動詞
agreement,n,LEGAL,法律與合約
agricultural,a,GENADJ,一般形容詞
ahead,ad,GENADV,一般副詞
aid,v,VERB,通用商務動詞
aim,v,VERB,通用商務動詞
air-conditioner,n,GENN,一般名詞
aircraft,n,TRAVEL,差旅與交通
airline,n,TRAVEL,差旅與交通
airport,n,TRAVEL,差旅與交通
aisle,n,GENN,一般名詞
alarm,n,GENN,一般名詞
alert,v,VERB,通用商務動詞
align,v,VERB,通用商務動詞
alike,a,GENADJ,一般形容詞
allege,v,VERB,通用商務動詞
allegedly,ad,GENADV,一般副詞
allergy,n,HEALTH,醫療與健康
alley,n,GENN,一般名詞
alliance,n,GENN,一般名詞
allocate,v,VERB,通用商務動詞
allow,v,VERB,通用商務動詞
allowance,n,GENN,一般名詞
allure,v,VERB,通用商務動詞
almost,ad,TIME,時間／頻率／程度副詞
along,prep,FUNC,連接詞／介系詞等功能詞
already,ad,TIME,時間／頻率／程度副詞
alter,v,VERB,通用商務動詞
alternate,a,GENADJ,一般形容詞
alternative,a,GENADJ,一般形容詞
altogether,ad,GENADV,一般副詞
amateur,a,GENADJ,一般形容詞
amaze,v,VERB,通用商務動詞
ambiguous,a,GENADJ,一般形容詞
ambition,n,GENN,一般名詞
amend,v,LEGAL,法律與合約
amendment,n,LEGAL,法律與合約
amid,prep,FUNC,連接詞／介系詞等功能詞
among,prep,FUNC,連接詞／介系詞等功能詞
amount,n,GENN,一般名詞
amplify,v,VERB,通用商務動詞
amuse,v,VERB,通用商務動詞
analyze,v,VERB,通用商務動詞
angle,n,GENN,一般名詞
animate,v,VERB,通用商務動詞
anniversary,n,GENN,一般名詞
announce,v,MEDIA,媒體與傳播
announcement,n,MEDIA,媒體與傳播
annual,a,FIN|TIME,財務／會計、時間／頻率／程度副詞
annually,ad,FIN|TIME,財務／會計、時間／頻率／程度副詞
anonymous,a,GENADJ,一般形容詞
another,a,GENADJ,一般形容詞
answer,v,VERB,通用商務動詞
antibiotic,a,HEALTH,醫療與健康
anxiety,n,EMOTION,情緒與個性形容詞
anxious,a,EMOTION,情緒與個性形容詞
any,a,GENADJ,一般形容詞
apart,ad,GENADV,一般副詞
apologetic,a,CS,客戶服務
apology,n,CS,客戶服務
apparent,a,GENADJ,一般形容詞
apparently,ad,GENADV,一般副詞
appeal,v,VERB,通用商務動詞
appear,v,VERB,通用商務動詞
appearance,n,GENN,一般名詞
appetite,n,FOOD,餐飲
applaud,v,VERB,通用商務動詞
appliance,n,HOME,居家／房間／家具
applicant,n,HR,人資／招聘
apply,v,HR,人資／招聘
appoint,v,HR,人資／招聘
appraise,v,VERB,通用商務動詞
apprehend,v,VERB,通用商務動詞
apprentice,n,TITLE,職稱與部門角色
approach,v,VERB,通用商務動詞
appropriate,a,GENADJ,一般形容詞
approval,n,GENN,一般名詞
approve,v,VERB,通用商務動詞
approximate,a,GENADJ,一般形容詞
apt,a,GENADJ,一般形容詞
architect,n,TITLE,職稱與部門角色
architecture,n,GENN,一般名詞
archive,v,WORK,職場／辦公室日常
area,n,GENN,一般名詞
arena,n,GENN,一般名詞
argue,v,VERB,通用商務動詞
argument,n,GENN,一般名詞
arise,v,VERB,通用商務動詞
around,ad,GENADV,一般副詞
arouse,v,VERB,通用商務動詞
arrange,v,VERB,通用商務動詞
arrest,v,VERB,通用商務動詞
arrival,v,TRAVEL,差旅與交通
arrive,v,TRAVEL,差旅與交通
articulate,v,VERB,通用商務動詞
ascend,v,VERB,通用商務動詞
assemble,v,MFG,生產與製造
assert,v,VERB,通用商務動詞
assess,v,VERB,通用商務動詞
assign,v,VERB,通用商務動詞
assignment,n,GENN,一般名詞
assimilate,v,VERB,通用商務動詞
assist,v,CS,客戶服務
assistance,n,CS,客戶服務
associate,n,GENN,一般名詞
association,n,GENN,一般名詞
assume,v,VERB,通用商務動詞
assurance,n,GENN,一般名詞
assure,v,VERB,通用商務動詞
astonish,v,VERB,通用商務動詞
at,prep,FUNC,連接詞／介系詞等功能詞
atm,n,BANK,銀行與投資
attach,v,VERB,通用商務動詞
attachment,n,GENN,一般名詞
attain,v,VERB,通用商務動詞
attempt,n,GENN,一般名詞
attend,v,VERB,通用商務動詞
attendance,n,MEET,會議與簡報
attention,n,GENN,一般名詞
attest,v,VERB,通用商務動詞
attorney,n,TITLE|LEGAL,職稱與部門角色、法律與合約
attract,v,VERB,通用商務動詞
attribute,v,VERB,通用商務動詞
auction,n,GENN,一般名詞
audience,n,MKT,行銷與業務
audit,v,FIN,財務／會計
auditory,a,GENADJ,一般形容詞
author,n,TITLE,職稱與部門角色
automatic,a,MFG|TECH,生產與製造、科技與電腦
available,a,GENADJ,一般形容詞
avenue,n,GENN,一般名詞
average,n,GENN,一般名詞
avert,v,VERB,通用商務動詞
avoid,v,VERB,通用商務動詞
avoidance,n,GENN,一般名詞
await,v,VERB,通用商務動詞
awareness,n,GENN,一般名詞
bachelor,n,GENN,一般名詞
back,n,GENN,一般名詞
backache,n,HEALTH,醫療與健康
backbone,n,GENN,一般名詞
backbreaking,a,GENADJ,一般形容詞
background,n,GENN,一般名詞
backlash,n,GENN,一般名詞
backlog,n,GENN,一般名詞
backpack,n,GENN,一般名詞
backup,n,TECH,科技與電腦
backward,a,GENADJ,一般形容詞
backyard,n,HOME,居家／房間／家具
bacteria,n,GENN,一般名詞
bad,a,GENADJ,一般形容詞
bad-tempered,a,GENADJ,一般形容詞
badge,n,WORK,職場／辦公室日常
badly,ad,GENADV,一般副詞
bag,n,GENN,一般名詞
baggage,n,TRAVEL,差旅與交通
bail,v,VERB,通用商務動詞
bailout,n,GENN,一般名詞
bait,n,GENN,一般名詞
bake,v,FOOD,餐飲
baker,n,TITLE|FOOD,職稱與部門角色、餐飲
bakery,n,FOOD,餐飲
balance,n,FIN,財務／會計
balcony,n,HOME,居家／房間／家具
bald,a,GENADJ,一般形容詞
ballroom,n,GENN,一般名詞
ban,n,GENN,一般名詞
band,n,GENN,一般名詞
banish,v,VERB,通用商務動詞
bank,n,BANK,銀行與投資
bankbook,n,GENN,一般名詞
bankcard,n,FIN|BANK,財務／會計、銀行與投資
banker,n,TITLE|BANK,職稱與部門角色、銀行與投資
banking,n,BANK,銀行與投資
bankrupt,a,FIN,財務／會計
bankruptcy,n,FIN,財務／會計
banner,n,WORK,職場／辦公室日常
banquet,n,FOOD,餐飲
bar,n,GENN,一般名詞
barbecue,n,GENN,一般名詞
bare,a,GENADJ,一般形容詞
barely,ad,TIME,時間／頻率／程度副詞
bareness,n,GENN,一般名詞
bargain,n,MKT|SHOP,行銷與業務、購物與零售
barren,a,GENADJ,一般形容詞
barrier,n,GENN,一般名詞
bas,n,GENN,一般名詞
baseline,n,GENN,一般名詞
basement,n,HOME,居家／房間／家具
basic,n,GENN,一般名詞
basically,ad,GENADV,一般副詞
basis,n,GENN,一般名詞
basket,n,SHOP,購物與零售
bat,n,GENN,一般名詞
batch,n,MFG,生產與製造
bath,n,GENN,一般名詞
bathe,v,VERB,通用商務動詞
bathroom,n,HOME,居家／房間／家具
battery,n,GENN,一般名詞
battle,v,VERB,通用商務動詞
bay,n,GENN,一般名詞
be,v,VERB,通用商務動詞
beach,n,GENN,一般名詞
bearable,a,GENADJ,一般形容詞
bearer,n,GENN,一般名詞
bearing,n,GENN,一般名詞
beat,v,VERB,通用商務動詞
beaten,a,GENADJ,一般形容詞
beautiful,a,GENADJ,一般形容詞
beautify,v,VERB,通用商務動詞
beauty,n,GENN,一般名詞
because,conj,FUNC,連接詞／介系詞等功能詞
become,v,VERB,通用商務動詞
becoming,a,GENADJ,一般形容詞
bed,n,HOME,居家／房間／家具
bedside,n,GENN,一般名詞
bedtime,n,GENN,一般名詞
begin,v,VERB,通用商務動詞
beginner,n,GENN,一般名詞
beginning,n,GENN,一般名詞
behalf,n,GENN,一般名詞
behave,v,VERB,通用商務動詞
behavior,n,GENN,一般名詞
behavioral,a,GENADJ,一般形容詞
behind,ad,GENADV,一般副詞
beholder,n,GENN,一般名詞
beige,a,GENADJ,一般形容詞
being,n,GENN,一般名詞
belated,a,GENADJ,一般形容詞
belief,n,GENN,一般名詞
believe,v,VERB,通用商務動詞
